21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
