03/01/2015 14:54:01 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|30
03/01/2015 14:54:01 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|116
03/01/2015 14:54:11 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|29
03/01/2015 14:54:11 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|115
03/01/2015 15:15:26 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 15:15:26 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 15:15:26 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 15:15:28 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 15:15:28 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 15:15:28 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 15:16:21 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 15:16:21 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 15:16:21 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 15:16:23 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 15:16:23 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 15:16:23 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
